return_period,median,LB,RB,group
550,-280.4605403375108,-893.7950919497853,824.840010252346,low
560,-238.00246401498043,-852.6597350114798,871.7543544190589,low
570,-197.96345834877684,-815.3865695415743,914.7783372871386,low
580,-160.74551590095962,-776.8774416818214,956.3787070273174,low
590,-123.00680531726175,-740.2971003963885,997.3076210044019,low
600,-87.49195333197076,-706.2412213557473,1036.5937121143943,low
610,-52.91508247426191,-672.1838732424894,1074.3147237713547,low
620,-19.42977862663156,-640.0127536790296,1110.54357262532,low
630,11.874125698645003,-610.1805446609078,1145.3487206318678,low
640,42.12913062829193,-581.6303703608482,1178.7945129677228,low
650,70.7191887324434,-554.6346501164544,1210.9414854178558,low
660,98.27910308500668,-529.1695942307169,1241.846644421521,low
670,124.99921415755853,-504.81265213094593,1271.563722591406,low
680,150.26113409884874,-481.5165763850009,1300.1434121880975,low
690,173.73077042633577,-458.87380992710496,1326.4859503329908,low
700,196.8344996156211,-437.8130382216932,1351.2453812853073,low
710,218.60792903964193,-417.4852448896654,1375.2316605160677,low
720,240.30802175767622,-397.4091309237556,1398.7260721173916,low
730,260.9813610976498,-377.9110879041691,1421.300754353092,low
740,280.616468023004,-359.2618103551604,1442.9922544998835,low
750,299.4427016819682,-341.42818931471174,1463.835234798753,low
760,317.3381832718105,-324.3787798487647,1483.8625930387907,low
770,334.2850301743174,-308.0672261264981,1503.1055739441308,low
780,350.4903356290688,-292.2163679010582,1521.5938721773637,low
790,365.9822737839804,-277.07678465973095,1539.355727690273,low
800,381.19547654033886,-262.6218908135115,1556.418014079839,low
810,395.7888844907966,-248.82637412448003,1572.806320544706,low
820,409.76982803486317,-235.6661202735295,1588.5450279791175,low
830,423.0406918560984,-223.09902216413684,1602.9499727571574,low
840,435.3096090445042,-211.07000709677777,1615.7250945205024,low
850,447.1382999368716,-199.57907125363272,1627.9564391388058,low
860,458.57875012715976,-188.47911092158483,1639.7684342464136,low
870,469.2988178365931,-177.85535641466777,1651.0943227545768,low
880,479.56586581082047,-167.74783669604403,1661.9043671359505,low
890,489.57765629815367,-158.13897268245182,1672.2160584524881,low
900,498.67823566065545,-149.04530771548798,1682.0461318433618,low
910,507.06675477679073,-140.57535128857126,1691.4106069074878,low
920,515.6080244583945,-132.54264817786134,1700.3248255154494,low
930,523.725991362171,-124.93313305808806,1708.8034872380567,low
940,531.4339137197558,-117.73331373670771,1716.8606825671222,low
950,538.742827061842,-110.93398765052916,1724.509924087988,low
960,545.5179866920762,-104.60254173986868,1731.764175749714,low
970,551.9873450157884,-98.64530414003457,1738.6358803679577,low
980,558.1145444632857,-93.05072464843761,1745.136985483954,low
990,563.6021780767169,-87.82853731255454,1750.8052204100268,low
1000,568.4756770997374,-82.9605632009825,1755.6699601483597,low
