return_period,median,LB,RB,group
890,2058.1781867559584,620.3519858630989,3738.7267935267864,vulnerable
900,2059.194542215253,619.5592304970978,3740.0760812210574,vulnerable
910,2059.463867441982,618.7512548169179,3741.961357808148,vulnerable
920,2059.731421722323,617.9485919758845,3743.834237770552,vulnerable
930,2059.997235773022,617.1511498237996,3745.6949361254137,vulnerable
940,2061.3066972715387,616.3588387799336,3747.282322440129,vulnerable
950,2062.6188090133073,615.5715717348739,3748.8568565302485,vulnerable
960,2063.9226553095978,614.7892639570946,3750.421472085807,vulnerable
970,2065.2183735646795,614.0118330040495,3751.9763339918954,vulnerable
980,2066.506097509082,613.2391986374096,3753.5216027251827,vulnerable
990,2067.1428571428532,612.8571428571431,3754.2857142857138,vulnerable
1000,2067.142857142855,612.8571428571486,3754.28571428571,vulnerable
